date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index
16-02-2023,177.3208333,120.1583333,1207.416667,61.15833333,127.85,70.29166667,0.512916667,16.875,1.116666667
17-02-2023,236.875,163.85,2135.166667,89.64166667,145.6583333,84.08333333,0.80625,8.541666667,0.970833333
18-02-2023,271.4,182.2125,3439.666667,100.0791667,118.6375,88.66666667,0.73,30.33333333,1.014583333
19-02-2023,260.5375,176.3166667,3349.333333,113.475,123.0875,83.16666667,0.728333333,24.54166667,1.029166667
20-02-2023,184.2541667,125.5208333,2036.333333,108.3125,79.3,72.375,0.659583333,13.95833333,1.022916667
21-02-2023,114.8541667,76.02083333,1355.083333,82.0375,60.24583333,51.70833333,0.46625,17.33333333,1.21875
22-02-2023,99.2625,66.63333333,1007.583333,54.84166667,44.2,67.45833333,0.463333333,11.66666667,1.175
23-02-2023,65.82916667,40.36666667,816.5,42.20416667,34.08333333,57.25,0.243333333,22.79166667,1.383333333
24-02-2023,86.5875,56.59166667,1313.541667,54.47083333,44.87083333,64.20833333,0.270833333,15.79166667,1.3
25-02-2023,131.0125,88.43333333,2341.375,85.77083333,72.7,70.25,0.4625,12.41666667,1.15625
26-02-2023,123.5291667,84.27083333,2153.291667,89.87083333,81.32916667,64.66666667,0.4875,7.791666667,1.102083333
27-02-2023,105.5125,70.4625,1455.708333,70.025,58.6,66.25,0.4925,12.5,1.147916667
28-02-2023,111.025,73.1,1623.125,73.40833333,62.75833333,54.375,0.508333333,18.08333333,1.141666667
01-03-2023,91.54583333,60,1369.791667,54.39166667,46.05833333,48.08333333,0.495,15.375,1.21875
02-03-2023,74.61666667,48.47916667,1071.333333,54.03333333,44.48333333,52,0.41875,13.58333333,1.38125
03-03-2023,63.23333333,38.39166667,701.5416667,45.6375,30.8125,56.04166667,0.329166667,21.875,1.45625
04-03-2023,62.22083333,37.45833333,718.625,41.91666667,29.10416667,58.25,0.337916667,24.45833333,1.479166667
05-03-2023,64.94583333,39.47916667,794.2083333,46.9375,29.00833333,58.875,0.33,23.29166667,1.479166667
06-03-2023,68.3125,42.875,946.7083333,45.90833333,31.9375,59.79166667,0.247083333,19.33333333,1.645833333
07-03-2023,101.675,66.59166667,1609.791667,67.9,52.51666667,63.625,0.28125,17.625,1.633333333
08-03-2023,132.5125,89.64583333,2383.083333,93.45416667,77.19583333,56.20833333,0.533333333,11.375,1.385416667
09-03-2023,98.39166667,65.97916667,1324.833333,68.29583333,50.96666667,58.29166667,0.7075,11,1.275
10-03-2023,110.5791667,72.775,1547.5,69.475,51.0125,60.95833333,0.51625,17.875,1.514583333
11-03-2023,154.5875,102.8458333,2475.083333,104.0583333,89.35416667,69.45833333,0.560833333,20.79166667,1.33125
12-03-2023,139.9583333,94.71666667,1957.458333,84.175,83.45416667,72,0.486666667,12.45833333,1.460416667
13-03-2023,140.2958333,93.52916667,2033.875,76.11666667,78.4625,63.66666667,0.584166667,17.83333333,1.325
14-03-2023,93.75833333,59.375,1221.416667,54.57083333,48.42916667,60.41666667,0.435833333,24.79166667,1.485416667
15-03-2023,141.975,93.49166667,2301.25,91.18333333,90.28333333,63.29166667,0.54625,22.75,1.320833333
16-03-2023,119.4375,80.60416667,1680.208333,76.51666667,67.65833333,57.16666667,0.965833333,11.83333333,0.941666667
17-03-2023,104.2333333,70.08333333,1184.166667,66.525,49.14583333,65.75,1.27125,11.16666667,0.816666667
18-03-2023,144.6541667,98.70416667,1578.25,74.125,58.19583333,60.41666667,1.36,9.875,0.789583333
19-03-2023,154.0208333,106.6958333,2071.875,79.57083333,86.25833333,65.58333333,1.059583333,4.541666667,0.98125
20-03-2023,126.4875,86.9125,1932.25,71.02083333,64.67916667,61.41666667,1.45875,6.291666667,0.829166667
21-03-2023,81.525,56.19583333,1028.708333,49.9875,44.29166667,71.95833333,1.129166667,3.833333333,0.520833333
22-03-2023,117.7,81.3,2101.875,73.88333333,70.22916667,67.70833333,0.594583333,4.166666667,1.514583333
23-03-2023,92.89166667,60.875,1565,57.80833333,49.68333333,55.125,0.425,15.95833333,1.64375
24-03-2023,108.3375,69.0125,1302.083333,68.6875,61.72083333,55.45833333,0.737916667,25.70833333,1.3375
25-03-2023,102.1125,65.7,1166.875,61.83333333,51.84166667,66.5,0.765833333,21.29166667,1.383333333
26-03-2023,72.24583333,43.65,623.7916667,43.22083333,30.00833333,65.5,0.475,28.20833333,1.570833333
27-03-2023,73.05,44.9,735.8333333,44.90416667,30.54583333,65.66666667,0.351666667,26.04166667,1.647916667
28-03-2023,87.64166667,56.875,1234.541667,55.77083333,45.98333333,65.125,0.254166667,17.70833333,1.84375
29-03-2023,117.375,78.5875,1527.166667,67.41666667,68.21666667,71.625,0.442083333,13.95833333,1.64375
30-03-2023,119.3875,79.33333333,1093.083333,63.08333333,61.06666667,83.375,0.928333333,17.70833333,1.25
31-03-2023,70.97916667,47.71666667,702.7916667,46.975,35.58333333,70.91666667,0.79375,8.916666667,1.01875
01-04-2023,108.3125,73.825,1734.666667,70.13333333,75.875,54.29166667,0.802083333,8.208333333,0.927083333
